participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.block,player.age,player.genre,player.etudes,player.filiere,player.selected,player.set,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,z1yfmf02,,1,32,32,dce,Conclusion,2026-01-15 20:45:39.975546,1,,,0.0,1,,0.0,1,25,1,4,2,1,2,qdx1dh0k,,,,,0
2,vfnl2uwt,,1,32,32,dce,Conclusion,2026-01-15 20:45:40.040570,1,,,0.0,2,,0.0,2,23,1,5,0,2,1,qdx1dh0k,,,,,0
3,eh1agin8,,1,32,32,dce,Conclusion,2026-01-15 20:45:40.067468,1,,,0.0,3,,0.0,1,21,1,4,0,1,2,qdx1dh0k,,,,,0
1,z1yfmf02,,1,32,32,dce,Conclusion,2026-01-15 20:45:39.975546,1,,,0.0,1,,0.0,1,,,,,1,3,qdx1dh0k,,,,,0
2,vfnl2uwt,,1,32,32,dce,Conclusion,2026-01-15 20:45:40.040570,1,,,0.0,2,,0.0,2,,,,,2,4,qdx1dh0k,,,,,0
3,eh1agin8,,1,32,32,dce,Conclusion,2026-01-15 20:45:40.067468,1,,,0.0,3,,0.0,1,,,,,1,3,qdx1dh0k,,,,,0
1,z1yfmf02,,1,32,32,dce,Conclusion,2026-01-15 20:45:39.975546,1,,,0.0,1,,0.0,1,,,,,1,6,qdx1dh0k,,,,,0
2,vfnl2uwt,,1,32,32,dce,Conclusion,2026-01-15 20:45:40.040570,1,,,0.0,2,,0.0,2,,,,,1,5,qdx1dh0k,,,,,0
3,eh1agin8,,1,32,32,dce,Conclusion,2026-01-15 20:45:40.067468,1,,,0.0,3,,0.0,1,,,,,1,6,qdx1dh0k,,,,,0
1,z1yfmf02,,1,32,32,dce,Conclusion,2026-01-15 20:45:39.975546,1,,,0.0,1,,0.0,1,,,,,1,7,qdx1dh0k,,,,,0
2,vfnl2uwt,,1,32,32,dce,Conclusion,2026-01-15 20:45:40.040570,1,,,0.0,2,,0.0,2,,,,,2,8,qdx1dh0k,,,,,0
3,eh1agin8,,1,32,32,dce,Conclusion,2026-01-15 20:45:40.067468,1,,,0.0,3,,0.0,1,,,,,1,7,qdx1dh0k,,,,,0
1,z1yfmf02,,1,32,32,dce,Conclusion,2026-01-15 20:45:39.975546,1,,,0.0,1,,0.0,1,,,,,2,9,qdx1dh0k,,,,,0
2,vfnl2uwt,,1,32,32,dce,Conclusion,2026-01-15 20:45:40.040570,1,,,0.0,2,,0.0,2,,,,,2,10,qdx1dh0k,,,,,0
3,eh1agin8,,1,32,32,dce,Conclusion,2026-01-15 20:45:40.067468,1,,,0.0,3,,0.0,1,,,,,2,9,qdx1dh0k,,,,,0
1,z1yfmf02,,1,32,32,dce,Conclusion,2026-01-15 20:45:39.975546,1,,,0.0,1,,0.0,1,,,,,1,11,qdx1dh0k,,,,,0
2,vfnl2uwt,,1,32,32,dce,Conclusion,2026-01-15 20:45:40.040570,1,,,0.0,2,,0.0,2,,,,,1,12,qdx1dh0k,,,,,0
3,eh1agin8,,1,32,32,dce,Conclusion,2026-01-15 20:45:40.067468,1,,,0.0,3,,0.0,1,,,,,1,11,qdx1dh0k,,,,,0
1,z1yfmf02,,1,32,32,dce,Conclusion,2026-01-15 20:45:39.975546,1,,,0.0,1,,0.0,1,,,,,1,13,qdx1dh0k,,,,,0
2,vfnl2uwt,,1,32,32,dce,Conclusion,2026-01-15 20:45:40.040570,1,,,0.0,2,,0.0,2,,,,,1,14,qdx1dh0k,,,,,0
3,eh1agin8,,1,32,32,dce,Conclusion,2026-01-15 20:45:40.067468,1,,,0.0,3,,0.0,1,,,,,1,13,qdx1dh0k,,,,,0
1,z1yfmf02,,1,32,32,dce,Conclusion,2026-01-15 20:45:39.975546,1,,,0.0,1,,0.0,1,,,,,2,16,qdx1dh0k,,,,,0
2,vfnl2uwt,,1,32,32,dce,Conclusion,2026-01-15 20:45:40.040570,1,,,0.0,2,,0.0,2,,,,,2,15,qdx1dh0k,,,,,0
3,eh1agin8,,1,32,32,dce,Conclusion,2026-01-15 20:45:40.067468,1,,,0.0,3,,0.0,1,,,,,2,16,qdx1dh0k,,,,,0
